DATE,PRICE,OPEN,HIGH,LOW,VOLUMES(M),DAY
27-Oct-20,266.03,259.37,267.31,256.91,0.71,711
26-Oct-20,259.37,270.98,272.96,252.87,0.65,710
25-Oct-20,271.02,275.63,275.79,268.21,0.5,709
24-Oct-20,275.63,270.36,277.63,267.67,0.49,708
23-Oct-20,270.38,267.77,275.84,264.39,0.66,707
22-Oct-20,267.88,258.35,274.46,258.23,0.87,706
21-Oct-20,258.67,240.67,263.77,240.03,0.91,705
20-Oct-20,240.66,249.74,249.9,238,0.58,704
19-Oct-20,249.74,249.36,252.41,245.06,0.48,703
18-Oct-20,249.36,244.79,250.26,243.86,0.43,702
17-Oct-20,244.82,250.29,252.47,241.41,0.59,701
16-Oct-20,250.21,262.24,266.42,244.14,1.14,700
15-Oct-20,262.19,259.02,265.07,255.55,0.92,699
14-Oct-20,259.01,253.36,259.88,250.23,0.82,698
13-Oct-20,253.38,239.65,255.32,237.72,0.95,697
12-Oct-20,239.68,239.1,243.93,233.79,0.59,696
11-Oct-20,239.1,237.28,243.5,236.27,0.62,695
10-Oct-20,237.29,237.15,246.2,236.01,0.68,694
09-Oct-20,237.15,233.86,240.05,231.94,0.61,693
08-Oct-20,233.8,222.99,236.15,221.27,0.68,692
07-Oct-20,223.13,219.65,224.27,216.4,0.41,691
06-Oct-20,219.66,221.78,230.27,216.53,0.59,690
05-Oct-20,221.75,220.91,222.67,218.21,0.34,689
04-Oct-20,220.91,218.48,222.69,216.46,0.32,688
03-Oct-20,218.47,219.63,221.25,217.63,0.29,687
02-Oct-20,219.63,228,228.28,213.08,0.61,686
01-Oct-20,227.97,228.06,233.64,221.94,0.58,685
30-Sep-20,227.99,229.04,231,225.25,0.5,684
29-Sep-20,229.02,225.78,230.12,224.59,0.49,683
28-Sep-20,225.78,229.4,234.67,224.07,0.64,682
27-Sep-20,229.28,221.28,231.63,216.35,0.52,681
26-Sep-20,221.27,216.51,224.09,212.71,0.43,680
25-Sep-20,216.47,216.19,217.92,210.85,0.44,679
24-Sep-20,216.2,207.87,218.18,206.42,0.45,678
23-Sep-20,207.74,220.03,220.05,203.53,0.47,677
22-Sep-20,220.04,212.37,220.13,210.7,0.41,676
21-Sep-20,212.36,226.25,228.82,208.23,0.7,675
20-Sep-20,226.26,233.19,233.4,222.13,0.46,674
19-Sep-20,233.2,233.98,237.46,231.53,0.53,673
18-Sep-20,234.03,232.9,238.81,230.27,0.49,672
17-Sep-20,232.9,230.77,239.23,229.65,0.54,671
16-Sep-20,230.69,235.23,235.32,226.9,0.64,670
15-Sep-20,235.23,225.79,241.3,224.96,1,669
14-Sep-20,225.8,222.15,228.74,219.2,0.54,668
13-Sep-20,222.1,230.12,234.45,219.62,0.61,667
12-Sep-20,230.11,225.22,230.23,222.57,0.8,666
11-Sep-20,225.21,227.41,228.36,221.16,0.95,665
10-Sep-20,227.4,224.07,230.23,223.87,1.16,664
09-Sep-20,224.07,222.32,228.21,218.75,0.95,663
08-Sep-20,222.32,228.74,230.33,216.36,1.46,662
07-Sep-20,228.74,227.69,229.88,215.73,1.64,661
06-Sep-20,227.69,225.57,233.16,219.26,1.53,660
05-Sep-20,225.51,230.14,234.43,215.24,2.64,659
04-Sep-20,230.17,214.48,239.14,212.86,2.4,658
03-Sep-20,214.32,263.92,266.28,202.93,2.3,657
02-Sep-20,263.92,291.33,294.21,249.7,2.16,656
01-Sep-20,291.33,273.68,295.19,269.74,1.57,655
31-Aug-20,273.67,279.38,281.22,272.96,0.97,654
30-Aug-20,279.38,268.01,279.49,267.79,0.93,653
29-Aug-20,268.01,268.61,272.57,266.23,0.92,652
28-Aug-20,268.62,264.65,271.6,261.13,1.1,651
27-Aug-20,264.64,274.77,276.85,258.5,1.35,650
26-Aug-20,274.78,275.66,278.83,271.13,0.96,649
25-Aug-20,275.66,290.75,291.51,268.81,1.27,648
24-Aug-20,290.77,284.61,294.92,282.06,0.9,647
23-Aug-20,284.6,286.64,288.11,278.9,0.74,646
22-Aug-20,286.64,282.92,287.6,276.26,0.99,645
21-Aug-20,282.88,294.66,305.45,281.63,1.54,644
20-Aug-20,294.68,292.68,296.21,288.74,1.06,643
19-Aug-20,292.67,303.32,308.81,281.76,1.83,642
18-Aug-20,303.33,318,324.23,301.43,1.8,641
17-Aug-20,317.91,308.29,324.95,301.55,2.08,640
16-Aug-20,308.29,302.19,313.48,295.67,1.75,639
15-Aug-20,302.18,293.29,307.75,291.7,1.61,638
14-Aug-20,293.3,295.71,297.77,287.96,1.45,637
13-Aug-20,295.71,284.61,296.9,274.79,1.7,636
12-Aug-20,284.58,281.66,289.93,271.43,1.57,635
11-Aug-20,281.62,302.38,305.6,269.99,1.8,634
10-Aug-20,302.39,300.01,309.01,287.18,1.56,633
09-Aug-20,300.01,305.27,308.85,292.63,1.22,632
08-Aug-20,305.25,302.36,309.42,297.91,1.3,631
07-Aug-20,302.36,308.91,326.07,282.35,2.83,630
06-Aug-20,308.91,293.53,319.22,287.47,2.18,629
05-Aug-20,293.54,288.11,298.13,284.41,1.77,628
04-Aug-20,288.12,296.71,302.96,282.05,1.65,627
03-Aug-20,296.71,283.83,304.49,280.47,1.77,626
02-Aug-20,283.79,319.51,337.62,249.43,3.26,625
01-Aug-20,319.51,300.63,321.21,298.03,1.82,624
31-Jul-20,300.69,291.56,306.23,287.32,1.38,623
30-Jul-20,291.56,287.8,299.52,280.89,1.61,622
29-Jul-20,287.82,289.04,293.88,285.61,1.58,621
28-Jul-20,289.06,268.52,297.02,264.99,2.7,620
27-Jul-20,268.49,247.45,274.95,247.18,2.44,619
26-Jul-20,247.45,251.12,256.81,244.41,1.55,618
25-Jul-20,251.01,235.07,253.28,234.87,1.56,617
24-Jul-20,235.07,238.32,238.8,232.73,0.94,616
23-Jul-20,238.32,239.13,242.14,235.71,1.19,615
22-Jul-20,239.12,228.65,239.21,227.82,1.07,614
21-Jul-20,229.74,222.77,232.05,222.24,0.98,613
20-Jul-20,222.77,227.74,228.39,221.27,0.67,612
19-Jul-20,227.74,224.43,228.72,220.42,0.67,611
18-Jul-20,224.43,222.78,226.24,222.35,0.63,610
