DATE,PRICE,OPEN,HIGH,LOW,CHANGE %,DAY,VOLUME(K)
27-Oct-20,175.02,173.83,176.53,173.43,0.68%,711,449.25
26-Oct-20,173.83,181.05,184.03,171.53,-3.99%,710,631.37
25-Oct-20,181.05,176.3,183.72,171.06,2.69%,709,654.65
24-Oct-20,176.3,166.67,176.3,166.67,5.78%,708,473.18
23-Oct-20,166.67,169.49,169.64,163.48,-1.66%,707,425.24
22-Oct-20,169.49,164.87,171.7,164.87,2.80%,706,432.66
21-Oct-20,164.87,157.8,167.36,157.8,4.48%,705,565.83
20-Oct-20,157.8,159.89,160.24,156.54,-1.31%,704,443.69
19-Oct-20,159.89,160.39,160.47,158.91,-0.31%,703,423.89
18-Oct-20,160.39,159.21,160.58,158.98,0.74%,702,434.66
17-Oct-20,159.21,160.17,160.17,158.2,-0.60%,701,466.46
16-Oct-20,160.17,169.47,169.94,157.78,-5.49%,700,691.54
15-Oct-20,169.47,168.7,170.48,167.2,0.46%,699,578.25
14-Oct-20,168.7,170.85,171.46,166.44,-1.26%,698,579.13
13-Oct-20,170.85,169.94,171.02,168.69,0.54%,697,585.82
12-Oct-20,169.94,171.9,172.08,167.62,-1.14%,696,664.75
11-Oct-20,171.9,170.98,173.83,170.98,0.54%,695,563.81
10-Oct-20,170.98,168.38,173.37,168.38,1.54%,694,563.57
09-Oct-20,168.38,165.64,169.14,163.36,1.65%,693,608.4
08-Oct-20,165.64,163.66,166.47,161.09,1.21%,692,691.46
07-Oct-20,163.66,158.93,167.38,157.22,2.98%,691,657.92
06-Oct-20,158.93,162.36,164.12,157.23,-2.11%,690,633.87
05-Oct-20,162.36,161.19,163.77,160,0.73%,689,520.36
04-Oct-20,161.19,159.15,161.52,158.69,1.28%,688,556.04
03-Oct-20,159.15,160.83,162.06,159.14,-1.04%,687,578.76
02-Oct-20,160.83,169.98,169.98,159.38,-5.38%,686,724.86
01-Oct-20,169.98,171.98,178.38,167.89,-1.16%,685,710.71
30-Sep-20,171.98,171.97,179.87,171.09,0.01%,684,758.77
29-Sep-20,171.97,168.02,171.97,167.98,2.35%,683,585.74
28-Sep-20,168.02,170.89,175.86,168.02,-1.68%,682,728.58
27-Sep-20,170.89,164.39,171.82,162,3.95%,681,645.42
26-Sep-20,164.39,155.73,166.61,155.66,5.56%,680,555.6
25-Sep-20,155.73,157.21,157.34,152.71,-0.94%,679,494.03
24-Sep-20,157.21,150.77,157.43,149.76,4.27%,678,505.5
23-Sep-20,150.77,155.75,155.75,150.77,-3.20%,677,512.2
22-Sep-20,155.75,147.44,158.36,144.34,5.64%,676,635.61
21-Sep-20,147.44,154.8,155.41,144.67,-4.75%,675,741.23
20-Sep-20,154.8,162.17,162.17,152.5,-4.54%,674,664.08
19-Sep-20,162.17,162.47,162.72,161.72,-0.18%,673,564.92
18-Sep-20,162.47,164.65,164.73,161.44,-1.32%,672,599.73
17-Sep-20,164.65,163.39,166.02,163.39,0.77%,671,484.29
16-Sep-20,163.39,164.7,165.91,161.97,-0.80%,670,514.89
15-Sep-20,164.7,164.4,168.43,162.5,0.18%,669,560.04
14-Sep-20,164.4,162.71,165.34,161.06,1.04%,668,496.96
13-Sep-20,162.71,169.23,170.15,161.5,-3.85%,667,482.06
12-Sep-20,169.23,167.5,169.36,164.1,1.03%,666,611.86
11-Sep-20,167.5,166.23,167.85,163.71,0.76%,665,688.05
10-Sep-20,166.23,170.37,171.78,164.84,-2.43%,664,808.34
09-Sep-20,170.37,170.95,173.09,167.84,-0.34%,663,850.95
08-Sep-20,170.95,174.03,175.3,169.8,-1.77%,662,1.33
07-Sep-20,174.03,163.4,176.08,161.77,6.51%,661,1.51
06-Sep-20,163.4,162.24,165.32,159.94,0.71%,660,1.13
05-Sep-20,162.24,160,167.74,153.21,1.40%,659,1.67
04-Sep-20,160,151.98,161.64,151.98,5.28%,658,1.58
03-Sep-20,151.98,183.56,184.41,150.95,-17.20%,657,1.61
02-Sep-20,183.56,203.25,203.25,181,-10.11%,656,1.38
01-Sep-20,204.21,192.68,204.3,190.85,5.98%,655,1.24
31-Aug-20,192.68,196.76,200,191.89,-2.13%,654,904.42
30-Aug-20,196.87,190.28,196.87,190.07,3.46%,653,802.32
29-Aug-20,190.28,191.93,191.93,189.66,-0.86%,652,746.47
