DATE,PRICE,OPEN,HIGH,LOW,VOLUME(M),CHANGE%,DAY
27-Oct-20,401.33,393.93,402.75,390.92,10.15,1.83%,711
26-Oct-20,394.11,406.45,410.41,383.21,9.06,-2.95%,710
25-Oct-20,406.09,412.44,417.07,403.95,3.05,-1.42%,709
24-Oct-20,411.92,408.59,416.28,407.74,2.68,0.83%,708
23-Oct-20,408.52,414.12,419.11,402.91,8.18,-1.33%,707
22-Oct-20,414.05,391.39,420.12,391.21,12.65,5.84%,706
21-Oct-20,391.2,368.53,400.36,368.06,13.61,6.20%,705
20-Oct-20,368.35,379.03,380.14,367.16,7.46,-2.86%,704
19-Oct-20,379.19,377.85,383.97,372.72,6.85,0.37%,703
18-Oct-20,377.81,368.61,378.49,367.54,4.68,2.49%,702
17-Oct-20,368.63,365.08,369.94,363.18,4.98,0.95%,701
16-Oct-20,365.17,377.6,379.6,362.65,7.59,-3.25%,700
15-Oct-20,377.45,378.96,380.77,370.39,7.93,-0.45%,699
14-Oct-20,379.15,381.13,387.11,373.62,8.08,-0.55%,698
13-Oct-20,381.23,386.64,387.06,374.57,7.92,-1.41%,697
12-Oct-20,386.68,374.39,394.58,366.05,10.39,3.34%,696
11-Oct-20,374.19,370.28,377.27,369.23,5.22,1.09%,695
10-Oct-20,370.16,365.25,377.97,364.57,7.17,1.34%,694
09-Oct-20,365.28,350.71,368.19,347.82,7.85,4.12%,693
08-Oct-20,350.83,341.66,352.95,334.79,6.85,2.74%,692
07-Oct-20,341.48,340.59,342.68,334.11,5.77,0.26%,691
06-Oct-20,340.61,353.53,354.9,337.21,7.32,-3.59%,690
05-Oct-20,353.28,352.69,354.86,348.76,4.96,0.16%,689
04-Oct-20,352.73,345.6,353.97,344.03,4.77,2.06%,688
03-Oct-20,345.6,345.78,351.04,343.74,4.48,-0.02%,687
02-Oct-20,345.68,353.06,353.61,335.91,7.27,-2.09%,686
01-Oct-20,353.07,359.5,369.1,345.66,7.93,-1.76%,685
30-Sep-20,359.39,359.77,360.94,352.81,5.43,-0.13%,684
29-Sep-20,359.86,353.97,360.66,351.48,6.26,1.63%,683
28-Sep-20,354.08,357.42,367.63,352.57,7.77,-0.88%,682
27-Sep-20,357.23,354.26,362,347.51,6.35,0.84%,681
26-Sep-20,354.25,351.62,355.87,346.95,6.48,0.75%,680
