 DATE,PRICE,OPEN,HIGH,LOW,VOLUME,CHANGE%,DAY
27-Oct-20,57.92,56.848,58.422,56.445,12.5,1.92%,711
26-Oct-20,56.826,58.852,59.33,55.076,12.76,-3.44%,710
25-Oct-20,58.852,59.266,60.025,56.56,14.02,-0.69%,709
24-Oct-20,59.263,55.431,59.61,54.818,13.89,6.91%,708
23-Oct-20,55.431,54.348,56.964,53.112,11.95,2.00%,707
22-Oct-20,54.346,52.956,56.267,52.956,10.32,2.52%,706
21-Oct-20,53.012,46.905,54.977,46.851,13.47,13.02%,705
20-Oct-20,46.905,48.015,48.446,46.45,8.44,-2.28%,704
19-Oct-20,47.997,47.549,48.453,46.791,6.96,1.00%,703
18-Oct-20,47.52,46.948,47.869,46.791,30.58,1.18%,702
17-Oct-20,46.968,47.586,47.644,46.331,20.21,-1.29%,701
16-Oct-20,47.581,49.557,49.857,45.624,9.54,-3.97%,700
15-Oct-20,49.549,49.833,50.204,48.871,15.54,-0.53%,699
14-Oct-20,49.814,49.894,50.987,49.279,10.68,-0.15%,698
13-Oct-20,49.892,50.605,50.682,48.851,8.48,-1.41%,697
12-Oct-20,50.605,50.506,51.515,49.336,11.75,0.30%,696
11-Oct-20,50.455,48.888,51.243,48.661,12.34,3.26%,695
10-Oct-20,48.861,47.761,50.549,47.743,16.43,2.25%,694
09-Oct-20,47.787,47.198,48.205,46.601,9.94,1.30%,693
08-Oct-20,47.172,46.569,47.467,45.512,11.62,1.23%,692
07-Oct-20,46.596,45.982,46.927,45.009,11.63,1.34%,691
06-Oct-20,45.982,46.332,48.267,45.55,15.51,-0.77%,690
05-Oct-20,46.34,46.663,47.056,45.532,13.47,-0.78%,689
04-Oct-20,46.707,45.492,47.029,45.272,11.3,2.61%,688
03-Oct-20,45.518,44.917,45.976,44.726,9.79,1.39%,687
02-Oct-20,44.892,46.237,46.959,43.299,10.49,-2.99%,686
01-Oct-20,46.276,46.266,48.477,45.324,14.41,0.04%,685
30-Sep-20,46.258,45.697,46.714,45.423,10.93,1.23%,684
29-Sep-20,45.697,45.195,45.857,44.953,11.04,1.00%,683
28-Sep-20,45.246,46.042,47.12,44.851,10.51,-1.81%,682
27-Sep-20,46.078,46.019,46.538,44.582,19.53,0.07%,681
26-Sep-20,46.047,46.002,46.54,45.179,18.32,0.05%,680
25-Sep-20,46.025,44.947,46.556,43.962,8.88,2.40%,679
24-Sep-20,44.947,42.978,45.182,42.582,14.85,4.65%,678
23-Sep-20,42.95,44.453,45.13,42.31,7.59,-3.43%,677
22-Sep-20,44.478,43.148,44.787,42.792,10.24,3.08%,676
21-Sep-20,43.147,47.118,47.656,41.932,10.77,-8.35%,675
20-Sep-20,47.076,48.492,48.527,46.201,9.82,-2.92%,674
19-Sep-20,48.492,48.539,48.989,47.952,10.23,-0.13%,673
18-Sep-20,48.557,48.832,49.067,47.529,10.95,-0.62%,672
17-Sep-20,48.858,47.762,49.542,47.629,8.62,2.36%,671
16-Sep-20,47.73,48.294,48.734,46.997,9.69,-1.21%,670
15-Sep-20,48.316,49.114,50.28,48.127,8.99,-1.56%,669
14-Sep-20,49.081,48.153,49.618,47.133,10.63,1.92%,668
13-Sep-20,48.156,50.833,51.02,47.316,9.46,-5.26%,667
12-Sep-20,50.828,48.927,51.309,48.374,14.21,3.88%,666
11-Sep-20,48.927,48.669,49.395,47.43,12.74,0.53%,665
10-Sep-20,48.669,47.833,49.429,47.785,13.86,1.75%,664
09-Sep-20,47.834,47.46,48.815,46.54,12.84,0.79%,663
08-Sep-20,47.458,48.839,49.337,46.035,15.52,-2.83%,662
07-Sep-20,48.839,47.91,49.137,45.262,14.21,1.93%,661
06-Sep-20,47.914,47.812,49.137,46.303,13.79,0.21%,660
05-Sep-20,47.812,50.364,51.241,45.562,17.37,-5.05%,659
04-Sep-20,50.353,47.47,52.364,46.612,16.21,6.13%,658
03-Sep-20,47.444,58.06,58.6,45.646,16.63,-18.32%,657
02-Sep-20,58.087,62.697,63.168,56.658,14.91,-7.40%,656
01-Sep-20,62.73,60.957,64.273,59.857,13.69,2.91%,655
31-Aug-20,60.957,62.87,63.677,60.588,14.61,-3.04%,654
30-Aug-20,62.87,56.952,62.883,56.931,14.95,10.39%,653
29-Aug-20,56.952,57.41,58.188,56.952,11.65,-0.80%,652
28-Aug-20,57.412,56.083,58.184,55.334,13.96,2.38%,651
27-Aug-20,56.076,58.087,59.232,54.046,12.69,-3.46%,650
26-Aug-20,58.087,58.347,59.062,57.028,11.47,-0.45%,649
25-Aug-20,58.349,62.09,62.292,56.687,13.87,-6.03%,648
24-Aug-20,62.092,60.546,62.987,59.973,12.77,2.57%,647
23-Aug-20,60.537,60.228,61.605,58.051,12.58,0.51%,646
22-Aug-20,60.228,59.181,60.497,57.789,12.52,1.82%,645
21-Aug-20,59.152,62.783,63.871,58.815,16.34,-5.78%,644
20-Aug-20,62.783,62.104,63.541,61.024,14.91,1.09%,643
19-Aug-20,62.105,65.447,67.108,58.961,17.51,-5.11%,642
18-Aug-20,65.45,67.199,68.354,63.636,20.15,-2.60%,641
17-Aug-20,67.198,63.881,68.877,61.552,20.2,5.19%,640
16-Aug-20,63.88,59.822,64.552,58.156,19.19,6.70%,639
15-Aug-20,59.868,56.679,60.593,56.6,18.73,5.63%,638
14-Aug-20,56.679,57.135,57.726,55.917,13.35,-0.80%,637
13-Aug-20,57.133,54.517,57.284,51.951,16.02,4.80%,636
12-Aug-20,54.516,54.102,55.018,51.726,15,0.76%,635
11-Aug-20,54.102,58.281,59.668,52.484,14.13,-7.17%,634
10-Aug-20,58.281,56.949,59.39,56.69,11.36,2.34%,633
09-Aug-20,56.949,58.445,58.667,56.098,5.79,-2.56%,632
08-Aug-20,58.446,57.186,58.531,56.489,6.58,2.20%,631
07-Aug-20,57.186,59.043,60.995,55.082,10.73,-3.15%,630
06-Aug-20,59.044,58.864,60.633,57.704,11.63,0.31%,629
05-Aug-20,58.864,57.601,59.76,56.885,10.76,2.19%,628
04-Aug-20,57.601,58.488,59.569,56.531,10.28,-1.51%,627
03-Aug-20,58.485,56.766,60.002,55.891,11.49,3.04%,626
02-Aug-20,56.76,61.637,65.098,52.585,20.58,-7.91%,625
01-Aug-20,61.637,58.16,62.217,57.561,16.69,5.99%,624
31-Jul-20,58.156,56.738,59.207,55.799,12.08,2.50%,623
30-Jul-20,56.737,55.17,58.529,53.987,17.69,2.85%,622
29-Jul-20,55.166,55.754,56.966,54.972,13.08,-1.06%,621
28-Jul-20,55.756,53.263,57.706,51.794,17.79,4.69%,620
27-Jul-20,53.258,48.072,55.63,47.001,19.59,10.79%,619
26-Jul-20,48.073,49.154,50.738,47.69,16.21,-2.20%,618
25-Jul-20,49.153,44.1,49.503,44.038,13.62,11.46%,617
24-Jul-20,44.1,44.939,44.959,43.951,6.61,-1.87%,616
23-Jul-20,44.939,44.984,45.644,44.522,10.99,-0.10%,615
22-Jul-20,44.983,43.786,45.09,43.206,7.85,2.74%,614
21-Jul-20,43.785,41.954,44.079,41.88,7.2,4.37%,613
20-Jul-20,41.954,42.633,42.802,41.486,6.78,-1.62%,612
19-Jul-20,42.647,42.468,42.884,41.84,6.69,0.42%,611
18-Jul-20,42.468,41.892,42.848,41.749,7.35,1.38%,610
17-Jul-20,41.892,42.081,42.464,41.723,8.7,-0.45%,609
16-Jul-20,42.081,43.35,43.501,40.967,9.11,-2.93%,608
15-Jul-20,43.35,43.896,44.07,42.9,9.51,-1.24%,607
14-Jul-20,43.896,43.943,44.045,42.859,17.61,-0.06%,606
13-Jul-20,43.922,44.737,45.586,42.741,24.85,-1.82%,605
12-Jul-20,44.737,44.696,45.251,43.745,23.41,0.09%,604
11-Jul-20,44.697,44.307,44.77,43.891,10.64,0.88%,603
10-Jul-20,44.307,44.367,44.595,43.486,11.4,-0.14%,602
09-Jul-20,44.368,45.333,45.866,43.587,11.85,-2.16%,601
08-Jul-20,45.348,43.364,45.599,43.074,13.32,4.57%,600
07-Jul-20,43.364,44.097,44.419,43.07,7.4,-1.65%,599
06-Jul-20,44.093,41.657,44.208,41.523,10.93,5.85%,598
05-Jul-20,41.657,42.077,42.166,40.812,5.62,-1.00%,597
04-Jul-20,42.077,41.211,42.172,41.12,5.75,2.10%,596
03-Jul-20,41.212,41.05,41.678,40.911,6.22,0.39%,595
02-Jul-20,41.05,41.728,41.9,40.391,7.11,-1.63%,594
01-Jul-20,41.728,41.194,41.964,41.016,6.19,1.29%,593
30-Jun-20,41.196,41.842,42.015,40.818,6.6,-1.53%,592
29-Jun-20,41.837,41.396,42.243,40.647,7.53,1.07%,591
28-Jun-20,41.396,41.077,42.013,40.474,6.89,0.77%,590
27-Jun-20,41.078,43.068,43.102,39.323,7.53,-4.62%,589
26-Jun-20,43.07,42.336,43.517,41.435,10.3,1.72%,588
25-Jun-20,42.341,42.625,42.982,41.795,7.73,-0.67%,587
24-Jun-20,42.625,44.167,44.648,42.219,9.24,-3.50%,586
23-Jun-20,44.171,44.292,44.486,43.907,4.65,-0.27%,585
22-Jun-20,44.292,42.996,44.634,42.943,7.06,3.01%,584
21-Jun-20,42.996,43.588,43.822,42.889,5.23,-1.36%,583
20-Jun-20,43.59,42.887,43.853,42.367,5.93,1.64%,582
19-Jun-20,42.887,43.444,43.676,42.74,4.66,-1.28%,581
18-Jun-20,43.444,44.08,44.21,42.871,6.38,-1.45%,580
17-Jun-20,44.083,43.868,44.705,43.085,8.15,0.48%,579
16-Jun-20,43.873,43.752,44.171,43.413,9.32,0.28%,578
15-Jun-20,43.752,44.047,44.073,41.858,11.28,-0.65%,577
14-Jun-20,44.039,45.107,45.118,43.602,7.3,-2.36%,576
13-Jun-20,45.104,44.742,45.183,44.304,7.81,0.81%,575
12-Jun-20,44.742,43.262,45.335,42.832,9.9,3.44%,574
11-Jun-20,43.252,46.657,46.927,42.161,12.48,-7.29%,573
10-Jun-20,46.653,45.88,47.051,45.674,9.3,1.70%,572
09-Jun-20,45.873,46.405,46.785,45.401,8.41,-1.14%,571
08-Jun-20,46.404,46.638,46.761,45.968,10.02,-0.50%,570
07-Jun-20,46.638,46.795,46.981,45.191,10.71,-0.33%,569
06-Jun-20,46.794,46.832,47.214,46.254,9.61,-0.08%,568
05-Jun-20,46.833,47.437,47.952,46.619,11.37,-1.28%,567
04-Jun-20,47.44,47.15,48.077,46.424,12.18,0.62%,566
03-Jun-20,47.149,46.016,47.493,45.331,12.43,2.46%,565
02-Jun-20,46.018,48.206,49.93,44.754,16.38,-4.53%,564
01-Jun-20,48.201,45.611,48.579,45.375,10.4,5.68%,563
31-May-20,45.611,47.73,47.79,45.182,12.4,-4.47%,562
30-May-20,47.746,44.502,48.011,44.208,13.38,7.29%,561
29-May-20,44.503,44.723,45.267,44.233,10.43,-0.49%,560
28-May-20,44.723,43.847,44.868,43.177,10.01,2.00%,559
27-May-20,43.847,42.274,43.991,42.231,9.38,3.75%,558
26-May-20,42.263,42.981,43.058,41.842,8.26,-1.67%,557
25-May-20,42.981,42.147,43.263,41.831,5.98,1.97%,556
24-May-20,42.152,43.874,44.533,42.152,9.73,-3.93%,555
23-May-20,43.875,44.203,44.735,43.705,8,-0.76%,554
22-May-20,44.21,42.931,44.643,42.391,10.41,2.98%,553
21-May-20,42.93,44.229,44.596,41.733,12.04,-2.92%,552
20-May-20,44.22,45.714,46.131,43.362,11.74,-3.29%,551
19-May-20,45.726,45.313,45.764,44.183,11.88,0.91%,550
18-May-20,45.313,43.67,46.503,43.655,16.79,3.76%,549
17-May-20,43.672,43.26,44.465,43.103,13.48,0.94%,548
16-May-20,43.264,42.737,43.863,42.512,12.69,1.24%,547
15-May-20,42.732,43.981,44.15,42.183,11.7,-2.84%,546
14-May-20,43.982,43.179,44.356,42.344,12.72,1.86%,545
13-May-20,43.178,42.184,43.735,41.959,10.54,2.36%,544
12-May-20,42.184,41.542,42.793,41.334,12.79,1.37%,543
11-May-20,41.613,42.101,42.849,39.575,15.36,-1.19%,542
10-May-20,42.115,47.019,47.019,39.993,18.6,-10.43%,541
09-May-20,47.02,47.711,49.088,46.951,10.08,-1.48%,540
08-May-20,47.725,47.364,48.398,46.39,10.76,0.79%,539
07-May-20,47.353,44.96,48.16,44.551,13.6,5.31%,538
06-May-20,44.963,46.549,47.526,44.822,10.17,-3.41%,537
05-May-20,46.549,46.971,47.736,45.826,8.21,-0.90%,536
04-May-20,46.971,48.049,48.159,45.236,13.18,-2.29%,535
03-May-20,48.073,49.214,49.929,46.847,13.38,-2.32%,534
02-May-20,49.212,47.089,49.529,46.774,11.06,4.51%,533
01-May-20,47.086,46.39,48.221,46.365,10.8,1.48%,532
30-Apr-20,46.4,48.805,50.8,45.859,14.83,-4.92%,531
29-Apr-20,48.802,45.732,49.844,45.71,18.11,6.71%,530
28-Apr-20,45.734,44.46,46.02,43.434,13.73,2.87%,529
27-Apr-20,44.46,44.565,45.19,43.24,21.97,-0.24%,528
26-Apr-20,44.566,44.376,45.37,43.861,23.95,0.32%,527
25-Apr-20,44.423,44.426,45.578,43.891,20.91,-0.09%,526
24-Apr-20,44.463,42.97,44.92,42.841,19.24,3.49%,525
23-Apr-20,42.965,41.818,43.876,41.003,23.77,2.74%,524
22-Apr-20,41.819,40.59,42.263,40.285,16.84,3.03%,523
21-Apr-20,40.589,40.229,41.28,40.038,15.12,0.93%,522
20-Apr-20,40.214,42.246,43.203,39.638,21.8,-4.79%,521
19-Apr-20,42.236,44.142,44.265,41.901,15.51,-4.31%,520
18-Apr-20,44.137,42.19,44.4,42.059,9.75,4.58%,519
17-Apr-20,42.206,42.547,42.983,41.64,8.9,-0.80%,518
16-Apr-20,42.547,39.336,43.549,38.012,12.58,8.14%,517
15-Apr-20,39.346,41.253,41.7,39.235,9.19,-4.62%,516
14-Apr-20,41.253,41.199,41.826,40.528,9.76,0.13%,515
13-Apr-20,41.199,42.02,42.03,39.763,18.78,-1.96%,514
12-Apr-20,42.021,42.531,43.559,41.857,12.09,-1.20%,513
11-Apr-20,42.532,42.27,43.136,41.488,10.71,0.62%,512
10-Apr-20,42.27,46.275,46.449,40.957,16.45,-8.66%,511
09-Apr-20,46.278,46.542,46.861,44.924,11.47,-0.57%,510
08-Apr-20,46.542,44.882,47.25,44.348,11.65,3.69%,509
07-Apr-20,44.885,45.008,47.605,43.864,12.25,-0.28%,508
06-Apr-20,45.011,40.342,45.014,40.307,18.09,11.57%,507
05-Apr-20,40.342,40.709,40.988,39.948,10.59,-0.90%,506
04-Apr-20,40.709,40.476,41.073,40.009,12.54,0.53%,505
